timestamp,bpm,temp_c,risk_score
2026-06-21T00:55:09.681359,0.0,23.99,0.5397
2026-06-21T00:55:09.825609,0.0,23.99,0.5397
2026-06-21T00:55:09.953350,0.0,23.99,0.5397
2026-06-21T00:55:10.088993,0.0,23.99,0.5397
2026-06-21T00:55:10.215776,0.0,23.99,0.5397
2026-06-21T00:55:10.340683,0.0,23.99,0.5397
2026-06-21T00:55:10.472044,0.0,23.99,0.5397
2026-06-21T00:55:10.604702,0.0,23.99,0.5397
2026-06-21T00:55:10.733072,0.0,23.99,0.5397
2026-06-21T00:55:10.862137,0.0,23.99,0.5397
2026-06-21T00:55:10.993217,0.0,23.99,0.5397
2026-06-21T00:55:11.131819,0.0,23.99,0.5397
2026-06-21T00:55:11.262681,0.0,23.99,0.5397
2026-06-21T00:55:11.397581,0.0,23.99,0.5397
2026-06-21T00:55:11.526824,0.0,23.99,0.5397
2026-06-21T00:55:11.657699,0.0,23.99,0.5397
2026-06-21T00:55:11.791020,0.0,23.99,0.5397
2026-06-21T00:55:11.925107,0.0,23.99,0.5397
2026-06-21T00:55:12.055456,0.0,23.99,0.5397
2026-06-21T00:55:12.185534,0.0,23.99,0.5397
2026-06-21T00:55:12.318081,0.0,23.99,0.5397
2026-06-21T00:55:12.471475,0.0,23.99,0.5397
2026-06-21T00:55:12.617477,0.0,23.99,0.5397
2026-06-21T00:55:12.755054,0.0,23.99,0.5397
2026-06-21T00:55:12.886732,0.0,23.99,0.5397
2026-06-21T00:55:13.020391,0.0,23.99,0.5397
2026-06-21T00:55:13.157661,0.0,23.99,0.5397
2026-06-21T00:55:13.294416,0.0,23.99,0.5397
2026-06-21T00:55:13.436284,0.0,23.99,0.5397
2026-06-21T00:55:13.581348,0.0,23.99,0.5397
2026-06-21T00:55:13.731566,0.0,23.99,0.5397
2026-06-21T00:55:13.871171,0.0,23.99,0.5397
2026-06-21T00:55:14.020388,0.0,23.99,0.5397
2026-06-21T00:55:14.149605,0.0,23.99,0.5397
2026-06-21T00:55:14.286711,0.0,23.99,0.5397
2026-06-21T00:55:14.421588,0.0,23.99,0.5397
2026-06-21T00:55:14.550348,0.0,23.99,0.5397
2026-06-21T00:55:14.691348,0.0,23.99,0.5397
2026-06-21T00:55:14.829948,0.0,23.99,0.5397
2026-06-21T00:55:14.971493,0.0,23.99,0.5397
2026-06-21T00:55:15.110270,0.0,23.99,0.5397
2026-06-21T00:55:15.247674,0.0,23.99,0.5397
2026-06-21T00:55:15.386686,0.0,23.99,0.5397
2026-06-21T00:55:15.513269,0.0,23.99,0.5397
2026-06-21T00:55:15.646835,0.0,23.99,0.5397
2026-06-21T00:55:15.773714,0.0,23.99,0.5397
2026-06-21T00:55:15.904088,0.0,23.99,0.5397
2026-06-21T00:55:16.031452,0.0,23.99,0.5397
2026-06-21T00:55:16.164030,0.0,23.99,0.5397
2026-06-21T00:55:16.296371,0.0,23.99,0.5397
2026-06-21T00:55:16.425589,0.0,23.99,0.5397
2026-06-21T00:55:16.562559,0.0,23.99,0.5397
2026-06-21T00:55:16.702418,0.0,23.99,0.5397
2026-06-21T00:55:16.850982,0.0,23.99,0.5397
2026-06-21T00:55:16.976437,0.0,23.99,0.5397
2026-06-21T00:55:17.108392,0.0,23.99,0.5397
2026-06-21T00:55:17.244151,0.0,23.99,0.5397
2026-06-21T00:55:17.385269,0.0,23.99,0.5397
2026-06-21T00:55:17.515517,0.0,23.99,0.5397
2026-06-21T00:55:17.641595,0.0,23.99,0.5397
2026-06-21T00:55:17.779510,0.0,23.99,0.5397
2026-06-21T00:55:17.911883,0.0,23.99,0.5397
2026-06-21T00:55:18.048016,0.0,23.99,0.5397
2026-06-21T00:55:18.181619,0.0,23.99,0.5397
2026-06-21T00:55:18.309477,0.0,23.99,0.5397
2026-06-21T00:55:18.442752,0.0,23.99,0.5397
2026-06-21T00:55:18.570663,0.0,23.99,0.5397
2026-06-21T00:55:18.701311,0.0,23.99,0.5397
2026-06-21T00:55:18.840377,0.0,23.99,0.5397
2026-06-21T00:55:18.975629,0.0,23.99,0.5397
2026-06-21T00:55:19.112324,0.0,23.99,0.5397
2026-06-21T00:55:19.254877,0.0,23.99,0.5397
2026-06-21T00:55:19.410201,0.0,23.99,0.5397
2026-06-21T00:55:19.589296,0.0,23.99,0.5397
2026-06-21T00:55:19.725505,0.0,23.99,0.5397
2026-06-21T00:55:19.864978,0.0,23.99,0.5397
2026-06-21T00:55:20.016863,0.0,23.99,0.5397
2026-06-21T00:55:20.152482,0.0,23.99,0.5397
2026-06-21T00:55:20.286973,0.0,23.99,0.5397
2026-06-21T00:55:20.417965,0.0,23.99,0.5397
2026-06-21T00:55:20.554218,0.0,23.99,0.5397
2026-06-21T00:55:20.713653,0.0,23.99,0.5397
2026-06-21T00:55:20.849982,0.0,23.99,0.5397
2026-06-21T00:55:20.979919,0.0,23.99,0.5397
2026-06-21T00:55:21.115391,0.0,23.99,0.5397
2026-06-21T00:55:21.243882,0.0,23.99,0.5397
